## C:\writing\scripts\noway.py -- a regtest.py file for detecting generic can't go that way errors
##

** game: /home/andrew/prt/debug-roil.ulx
** interpreter: /home/andrew/prt/glulxe -q

nodiag

prefix:ro

#intro
!Dusty Study
Stable
!Highest Heights
!Basement
!Carven Cavern

#stores
!Strip of Profits
!Cruelest Lectures

#troves
!Loather Rathole
!Loudest Used Lot
!Pallid
!Dour Tan Rotunda
Econ Cone
!FiefCo Office

#oyster
!Anger Range
!Posh Hops Shop
!Achers' Arches
!Horned Hedron
!End Den
!Scum Ant Sanctum
!Tenfold
!Lapsin' Plains
!Hut
!Collapsed Old Places
!Hero's Shore
!Olde Lode
!Handsome Sand Home
!Fighter Freight
!Lean Lane

#presto
!Grey Gyre
!Austerer Treasure
!Marines Seminar
!Phat Path
!Burnt Brunt
!Dirge Ridge
!Hacks' Shack
!Volt Maze

#towers
!Lost Lots
!Anemic Cinema
!Baldest Blasted Saltbed
!Scope Copse
!Savager Ravages
!Topside Deposit
!Unblest Sunbelt
!Salted Deltas
!Actionless Coastline
!Ole Shrine Shoreline
Danger Garden
!Obscurest Subsector
!Campiest Campsite
Shaven Havens
!Rawest Waters
!Loftier Trefoil
Solo Den
!Mislit Limits
!Outer Route

#routes
!Same Mesa
!Idle Deli
!Adobe Abode
!Cleric Circle
!Sun-Spared Underpass
!Ripe Pier
!Cripple Clipper

#otters
!Reclusion Inclosure
!Frontage
!Bran Barn
!Loop Pool
!Bleary Barley
!Anteroom
!Tapering
!Wickeder Wire Deck
!Perverse Preserve
!Coevals' Alcoves

#others
!Filed Field
!Gates Stage
!Clangier Clearing
!Swell Wells
!Rustic Citrus
!Scape Space
#Admit-Us Stadium

#demo dome
Peek Keep
Ned's Dens
Hows-Show
Intel Inlet
Evoc-Cove
