##############
#rg.txt
#
##############solution testing file
#
#solution listed first  then the clues so that we have rgtext  gpos and rpos for each if possible
#
######introduction
#
door,odor
bugle,bulge
blot,bolt
goat,toga
slander,snarled,darnels
gateman,magenta,nametag
static,attics
attics,static
#
#trips strip
#
forest,storef
sortie,tories,storei
resort,storer
metros,storem
#
######forest
#
north,thorn
south,shout
east,teas
west,stew
beard,bread
maps,spam
nose,ones
shades,dashes
shotgun,noughts
chisel,liches
hasbeen,banshee
sliver,livers
silver,sliver
wolves,vowels
#
######sortie
#
sixteen,exitsne
kitchen,thenick
straw,warts
sack,cask
cask,sack
tortilla,tall trio
parmesan,spearman
steak,skate
lettuce,cult tee
hotsauce,cathouse
grits,grist
pancake,cakepan
coat,taco
soil,oils
silo,oils
shoes,hoses
moor,room
peasant,anapest
panel,plane
hallway,haywall
missile,smilies
shoot,hoots
steer,trees
#
######metros
#
gardenia,drainage
noisebag,begonias
tomato,a motto
rentals,antlers
keycard,dry cake
barcode,brocade
sheath,heaths
sword,words
controls,lostcorn
velcro,clover
darkness,asknerds
opening,neonpig
resin,siren
beast,beats
noise bag,begonias
#
######resort
#
islet,tiles
cork,rock
wings,swing
slope,poles
grips,sprig
ropes,spore
toeholds,toolshed
trio,riot
potters,protest
china,chain
kilns,links
exist,exits
