#Name, total anagrams, geometric mean, date
roiling,31092,162.866152508341,2015-12-01-16-59-24
sa,3436,197.157143739436,2015-12-01-18-41-29
roiling,31103,163.001839062063,2015-12-01-18-41-46
roiling,31243,163.308355551395,2015-12-01-21-36-35
sa,3440,197.785518504421,2015-12-01-21-36-37
roiling,31249,163.330673525162,2015-12-07-15-51-55
sa,3444,198.338320169484,2015-12-07-15-52-26
sa,3455,200.74603639227,2015-12-07-18-57-23
roiling,31258,163.446199243758,2015-12-11-07-10-48
roiling,31308,163.827574475275,2015-12-16-23-44-43
sa,3465,201.487325450713,2015-12-17-13-36-27
roiling,31310,163.82997752607,2015-12-17-13-36-30
roiling,31414,164.179313301254,2016-01-12-18-05-06
sa,3493,203.776256169013,2016-01-12-18-05-08
sa,3501,204.203471428818,2016-01-22-21-18-18
roiling,31448,164.379216178643,2016-01-22-21-18-20
sa,3506,204.367317484899,2016-01-31-04-02-15
roiling,31467,164.529146207229,2016-01-31-04-02-24
roiling,31551,164.815418377199,2016-02-01-06-03-05
sa,3520,204.917105380984,2016-02-01-06-03-07
sa,3526,205.406537627423,2016-02-03-16-55-37
roiling,31665,165.151697711657,2016-02-03-16-55-40
roiling,31705,165.378955775184,2016-02-07-14-07-39
sa,3535,206.130123699649,2016-02-07-14-07-41
sa,3538,206.310557756316,2016-02-08-22-07-03
roiling,31794,165.528861034186,2016-02-08-22-07-04
roiling,31847,165.794396279503,2016-02-18-10-00-38
sa,3549,207.539090928971,2016-02-18-10-00-39
roiling,31912,166.097970867983,2016-02-19-23-13-02
sa,3560,208.351318794731,2016-02-19-23-13-03
sa,3579,209.491518922911,2016-02-25-21-36-51
roiling,31994,166.544742692711,2016-02-25-21-36-52
roiling,32054,166.833476671655,2016-02-29-06-04-50
sa,3593,210.676773019195,2016-02-29-06-04-52
roiling,32159,167.129758132518,2016-02-29-10-12-24
sa,3616,212.075402669084,2016-02-29-10-12-26
roiling,32221,167.500354097992,2016-03-16-22-14-03
sa,3625,212.313635385702,2016-03-16-22-14-06
sa,3629,212.998907364119,2016-03-22-21-31-25
roiling,32252,167.829756559919,2016-03-22-21-31-27
roiling,32293,168.002628043195,2016-03-25-03-04-49
sa,3630,213.341007743048,2016-03-25-03-04-52
sa,3637,214.137603928489,2016-03-25-04-14-30
roiling,32320,168.157507255063,2016-03-25-04-14-31
roiling,32338,168.187150524916,2016-03-25-14-13-38
roiling,32381,168.411371254002,2016-03-26-07-47-17
roiling,32391,168.457141972106,2016-03-27-07-00-37
roiling,32394,168.463701737255,2016-03-28-07-00-33
sa,3644,214.823579586959,2016-03-28-07-45-07
roiling,32403,168.650578847236,2016-03-29-07-00-41
sa,3649,215.217459069102,2016-03-29-12-17-41
roiling,32487,169.182312469721,2016-03-30-03-43-25
sa,3659,216.100359995776,2016-03-30-03-43-27
roiling,32493,169.196544025648,2016-03-30-07-00-41
roiling,32510,169.220272725427,2016-03-31-07-00-41
sa,3664,216.462826871356,2016-03-31-15-39-46
roiling,32537,169.453520041776,2016-04-01-07-00-47
sa,3670,216.700751177693,2016-04-01-11-31-34
roiling,32540,170.055649901329,2016-04-01-12-27-41
roiling,32558,170.337220246091,2016-04-02-07-00-48
sa,3678,217.086619215017,2016-04-02-14-03-40
roiling,32702,171.182809631582,2016-04-03-07-00-35
sa,3685,217.728518490696,2016-04-03-07-00-36
roiling,32736,171.785758158372,2016-04-03-16-41-05
roiling,32963,172.817334444549,2016-04-04-00-42-56
roiling,33024,173.03714985669,2016-04-04-02-13-02
roiling,33038,173.216804662617,2016-04-04-07-00-11
sa,3692,218.255306724118,2016-04-04-07-00-12
roiling,33079,173.705744132885,2016-04-05-07-00-32
sa,3697,218.576819647554,2016-04-05-07-00-33
roiling,33086,173.726122847098,2016-04-06-07-00-37
sa,3700,218.815559835508,2016-04-06-07-00-37
roiling,33101,173.894375285179,2016-04-07-07-00-25
sa,3701,218.833889167898,2016-04-07-07-00-26
roiling,33108,174.006391340826,2016-04-08-07-00-21
roiling,33114,174.029146718929,2016-04-09-07-00-22
sa,3702,218.905520606673,2016-04-09-07-00-22
roiling,33128,174.059114039641,2016-04-10-07-00-28
sa,3704,218.942154455134,2016-04-10-07-00-29
roiling,33153,174.312560834991,2016-04-10-21-56-17
sa,3707,219.050207639638,2016-04-10-22-26-26
roiling,33224,174.524374752007,2016-04-11-07-00-07
sa,3714,219.546895321937,2016-04-11-07-00-08
roiling,33234,174.587924596212,2016-04-12-00-30-35
roiling,33275,174.790824611645,2016-04-12-07-01-01
sa,3715,219.565216852899,2016-04-12-07-01-02
roiling,33289,174.989166600892,2016-04-13-13-37-35
roiling,33299,175.062599043798,2016-04-13-23-30-47
roiling,33301,175.068895410371,2016-04-14-08-10-11
sa,3720,220.51528319328,2016-04-15-07-30-36
sa,3730,222.351977935518,2016-04-15-18-45-03
roiling,33320,175.152371548907,2016-04-15-18-45-29
sa,3719,220.496896193079,2016-04-16-07-31-31
roiling,33316,175.187604627569,2016-04-16-07-32-21
sa,3718,220.425375904115,2016-04-17-07-31-58
roiling,33329,175.470502314178,2016-04-17-07-32-55
roiling,33331,175.49882948588,2016-04-17-15-52-59
sa,3719,220.511783431232,2016-04-17-16-44-05
sa,3720,220.530171672864,2016-04-18-07-31-55
roiling,33334,175.5009189215,2016-04-18-07-32-57
sa,3709,220.212893804998,2016-04-19-07-32-15
roiling,33342,175.532602688921,2016-04-19-07-33-29
sa,3708,220.192814211125,2016-04-19-09-38-36
roiling,33347,175.676759194167,2016-04-19-09-39-39
sa,3707,220.174371056379,2016-04-19-09-49-36
roiling,33348,175.678472052703,2016-04-19-10-17-43
roiling,33512,175.943969926891,2016-04-19-10-20-03
roiling,33611,176.08326792095,2016-04-19-10-28-05
roiling,33840,176.554081350051,2016-04-19-11-05-07
sa,3708,220.194448968403,2016-04-19-11-05-12
roiling,33847,176.595813651015,2016-04-19-14-09-57
sa,3709,220.343229454164,2016-04-19-23-03-39
sa,3713,220.706921498301,2016-04-20-07-34-57
roiling,33857,176.602725510077,2016-04-20-07-37-47
roiling,33872,176.684207341887,2016-04-20-12-33-01
roiling,33884,176.912591177331,2016-04-20-12-45-18
roiling,33886,177.045870184125,2016-04-20-12-50-01
sa,3717,221.046167500931,2016-04-20-15-55-46
roiling,33922,178.001804413433,2016-04-20-15-57-47
roiling,33932,178.195879020253,2016-04-20-16-11-53
sa,3718,221.624848793655,2016-04-20-16-21-23
roiling,33942,178.229014359328,2016-04-20-16-23-29
roiling,33966,178.473212786749,2016-04-21-00-08-55
roiling,34025,178.665160344244,2016-04-21-03-31-57
roiling,34056,178.71359489165,2016-04-21-03-41-01
sa,3725,221.487995271877,2016-04-21-07-31-55
roiling,34062,178.747137895888,2016-04-21-07-33-13
roiling,34059,178.737157346535,2016-04-21-14-17-54
sa,3726,221.506451067688,2016-04-21-14-22-43
roiling,34071,178.795292499522,2016-04-21-14-23-08
sa,3725,221.420562477873,2016-04-21-14-41-01
sa,3726,221.506451067688,2016-04-21-15-04-21
roiling,34073,178.80119261761,2016-04-21-15-04-30
sa,3725,221.328818829434,2016-04-21-15-08-09
roiling,34079,178.827846567552,2016-04-21-18-30-57
roiling,34081,178.848414057101,2016-04-21-19-09-43
roiling,34216,178.999875226649,2016-04-21-19-15-38
roiling,34210,178.768211108174,2016-04-21-21-10-41
roiling,34311,178.885040459468,2016-04-21-21-32-07
sa,3730,221.960082873562,2016-04-22-07-31-36
roiling,34305,178.838644173694,2016-04-22-07-32-36
roiling,34301,178.953301008377,2016-04-22-22-33-23
roiling,34313,179.207364495655,2016-04-23-21-06-43
roiling,34334,179.318396373344,2016-04-24-03-13-49
sa,3740,222.69265128422,2016-04-24-07-32-32
roiling,34350,179.409076625677,2016-04-24-07-33-34
roiling,34688,180.143208809276,2016-04-24-15-44-33
roiling,34857,180.431584431668,2016-04-24-16-32-28
roiling,34877,180.462944369551,2016-04-24-21-34-21
roiling,34878,180.488392369863,2016-04-25-06-35-19
roiling,34879,180.513588141683,2016-04-25-06-36-47
roiling,34905,180.843209140613,2016-04-25-06-42-16
roiling,34914,181.013089655486,2016-04-25-06-56-01
sa,3742,222.796100686919,2016-04-25-07-32-56
roiling,34915,181.101333216387,2016-04-25-07-34-17
roiling,34912,181.097349737432,2016-04-25-17-44-56
sa,3743,222.880749742791,2016-04-26-03-53-54
sa,3746,223.003944434839,2016-04-26-07-32-38
roiling,34929,181.286282069621,2016-04-26-07-33-43
sa,3748,223.222202995596,2016-04-27-07-49-44
roiling,34936,181.317663918421,2016-04-27-07-55-30
roiling,35074,181.480801980272,2016-04-28-00-27-51
sa,3751,223.461449696787,2016-04-28-05-45-39
sa,3753,224.130429517447,2016-04-28-07-42-51
roiling,35082,181.527422129017,2016-04-28-07-44-23
sa,3766,224.672631169382,2016-04-29-07-32-40
roiling,35144,181.903646331929,2016-04-29-07-32-46
sa,3765,224.525400976336,2016-04-29-14-08-48
sa,3766,224.608992044247,2016-04-30-07-32-02
roiling,35150,181.919615181589,2016-04-30-07-33-02
sa,3768,224.774851951042,2016-05-01-07-32-16
roiling,35177,182.345074903075,2016-05-01-07-33-22
roiling,35185,182.401312113461,2016-05-01-17-37-37
sa,3769,224.858256425339,2016-05-02-07-30-57
roiling,35191,182.415885926211,2016-05-02-07-31-22
roiling,35205,182.429264161799,2016-05-03-07-32-57
roiling,35208,182.450617201113,2016-05-04-22-29-10
roiling,35211,182.455962817391,2016-05-05-07-33-42
roiling,35221,182.546250606872,2016-05-06-07-34-54
roiling,35225,182.56522364945,2016-05-07-07-35-07
roiling,35231,182.592838658252,2016-05-08-07-33-08
sa,3770,224.941414140358,2016-05-09-07-36-00
roiling,35234,182.595613890492,2016-05-11-07-43-31
roiling,35236,182.603727400974,2016-05-12-07-39-38
sa,3771,225.335365120632,2016-05-13-07-32-01
roiling,35238,182.609409867455,2016-05-13-07-32-59
roiling,35251,182.685436283343,2016-05-14-07-33-16
roiling,35252,182.691917366646,2016-05-16-07-34-27
sa,3772,225.083065279293,2016-05-17-07-32-22
roiling,35254,182.700022091424,2016-05-17-07-33-21
sa,3774,225.186445809999,2016-05-18-07-36-22
roiling,35261,182.8691401977,2016-05-18-07-43-26
roiling,35262,182.879279610692,2016-05-19-07-34-39
roiling,35276,183.071002811232,2016-05-19-14-18-52
sa,3780,225.530001503995,2016-05-20-07-38-53
roiling,35307,183.470799366009,2016-05-20-07-40-17
sa,3781,225.70842788232,2016-05-21-07-33-07
roiling,35314,183.499370845603,2016-05-21-07-34-36
sa,3784,225.976617009686,2016-05-22-07-32-12
roiling,35323,183.515584170965,2016-05-22-07-33-11
roiling,35327,183.528380894117,2016-05-23-07-32-44
sa,3791,226.266487636119,2016-05-24-07-32-34
roiling,35348,183.758423389749,2016-05-24-07-33-47
roiling,35359,183.928986822273,2016-05-24-11-25-42
roiling,35362,183.985951970526,2016-05-24-12-03-44
sa,3792,226.285076733869,2016-05-25-07-33-29
roiling,35377,184.042092764972,2016-05-25-07-34-36
roiling,35426,184.398402664289,2016-05-25-22-22-53
roiling,35514,185.149991989308,2016-05-26-15-21-19
sa,3820,227.969059751844,2016-05-27-07-32-14
roiling,35567,185.459328917552,2016-05-27-07-58-54
sa,3823,228.153332700934,2016-05-27-07-58-56
roiling,35570,185.479362315338,2016-05-28-07-43-20
roiling,35574,185.639586412073,2016-05-28-10-34-06
roiling,35575,185.647684709431,2016-05-29-07-33-49
sa,3824,228.171857655686,2016-05-30-07-32-40
roiling,35578,185.722276145424,2016-05-30-07-33-42
roiling,35582,185.730516011355,2016-05-31-07-33-36
sa,3825,228.192378554145,2016-06-01-07-32-14
roiling,35583,185.736941008744,2016-06-01-07-33-12
sa,3826,228.212884699979,2016-06-03-08-54-15
roiling,35586,185.754675452254,2016-06-03-08-56-15
roiling,35587,185.756657734191,2016-06-05-07-33-40
roiling,35596,185.9585081251,2016-06-05-23-41-56
roiling,35605,186.043142442019,2016-06-06-03-36-20
sa,3830,228.403790347965,2016-06-06-07-34-03
roiling,35606,186.043547479303,2016-06-06-07-34-17
shuffling,3834,228.72058770202,2016-06-07-07-33-31
roiling,35613,186.163958718911,2016-06-07-07-34-37
roiling,35615,186.164769129877,2016-06-08-07-35-52
shuffling,3836,228.917080109954,2016-06-11-07-33-23
roiling,35628,186.323999677305,2016-06-11-07-34-54
roiling,35621,186.314724203336,2016-06-11-16-15-48
roiling,35629,186.406281962493,2016-06-12-14-37-22
shuffling,3837,229.061234823496,2016-06-13-07-31-53
roiling,35631,186.414404424194,2016-06-14-07-33-01
roiling,35633,186.434351341804,2016-06-15-07-33-38
shuffling,3839,229.164846714479,2016-06-17-07-32-49
roiling,35637,186.436328735291,2016-06-17-07-33-52
roiling,35639,186.441190211786,2016-06-18-07-33-29
shuffling,3842,229.504095376177,2016-06-20-07-37-10
roiling,35647,186.542282054556,2016-06-20-07-38-23
shuffling,3843,229.587038742704,2016-06-21-07-33-00
roiling,35652,186.549161800515,2016-06-21-07-34-19
shuffling,3844,229.781111550786,2016-06-22-07-33-49
roiling,35654,186.594633910586,2016-06-22-07-34-03
roiling,35661,186.617416379568,2016-06-23-00-05-06
roiling,35669,186.713500000826,2016-06-23-00-22-18
roiling,35671,186.795804066297,2016-06-23-00-24-01
roiling,35685,186.942979349287,2016-06-23-00-59-50
roiling,35720,187.290525251625,2016-06-23-03-01-05
shuffling,3853,230.204103978731,2016-06-23-04-20-22
roiling,35750,187.790594427904,2016-06-23-17-39-59
roiling,35786,188.03844494087,2016-06-23-19-16-21
shuffling,3864,230.59665649651,2016-06-24-07-32-50
roiling,35800,188.149242045507,2016-06-24-07-34-05
shuffling,3866,230.755719153,2016-06-26-07-37-45
roiling,35807,188.140790123717,2016-06-26-07-39-04
roiling,35808,188.141195974358,2016-06-28-07-40-10
roiling,35809,188.141601762849,2016-06-30-07-32-44
roiling,35811,188.168790010559,2016-07-01-08-02-43
roiling,35813,188.172729921303,2016-07-04-07-33-44
roiling,35815,188.173541320184,2016-07-07-07-33-48
roiling,35817,188.191086477937,2016-07-09-07-33-46
roiling,35818,188.191492122061,2016-07-10-07-33-47
roiling,35819,188.191897704114,2016-07-15-07-33-26
roiling,35820,188.196715788088,2016-07-18-07-34-40
roiling,35824,188.205438791341,2016-07-19-07-34-52
roiling,35825,188.205844214722,2016-07-20-07-34-03
shuffling,3868,230.859339809949,2016-07-21-07-34-14
shuffling,3869,230.877962004821,2016-07-22-07-32-51
roiling,35826,188.210653790059,2016-07-22-07-33-56
roiling,35853,188.359110307983,2016-07-23-15-37-52
roiling,35864,188.523466003497,2016-07-23-18-39-54
shuffling,3879,0,2016-07-24-00-05-08
roiling,35901,188.709852796346,2016-07-24-00-23-26
roiling,35950,189.088137153148,2016-07-24-03-03-51
roiling,35993,189.258861937258,2016-07-24-06-39-49
shuffling,3909,233.14310987562,2016-07-24-07-32-45
roiling,36007,189.340783383132,2016-07-24-07-33-47
shuffling,3911,233.234233573344,2016-07-25-07-32-55
roiling,36003,189.267731629666,2016-07-25-07-34-12
roiling,36039,189.455488445105,2016-07-25-20-29-59
shuffling,3918,233.667918980037,2016-07-26-07-33-53
roiling,36090,189.772099336037,2016-07-26-15-10-48
shuffling,3931,234.506302429436,2016-07-27-07-40-13
roiling,36108,189.996656856348,2016-07-27-07-43-12
